id_circuito,nome_circuito,pais_circuito,latitude,longitude,altitude
1,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,10
2,Sepang International Circuit,Malaysia,2.76083,101.738,18
3,Bahrain International Circuit,Bahrain,26.0325,50.5106,7
4,Circuit de Barcelona-Catalunya,Spain,41.57,2.26111,109
5,Istanbul Park,Turkey,40.9517,29.405,130
6,Circuit de Monaco,Monaco,43.7347,7.42056,7
7,Circuit Gilles Villeneuve,Canada,45.5,-73.5228,13
8,Circuit de Nevers Magny-Cours,France,46.8642,3.16361,228
9,Silverstone Circuit,UK,52.0786,-1.01694,153
10,Hockenheimring,Germany,49.3278,8.56583,103
11,Hungaroring,Hungary,47.5789,19.2486,264
12,Valencia Street Circuit,Spain,39.4589,-0.331667,4
13,Circuit de Spa-Francorchamps,Belgium,50.4372,5.97139,401
14,Autodromo Nazionale di Monza,Italy,45.6156,9.28111,162
15,Marina Bay Street Circuit,Singapore,1.2914,103.864,18
16,Fuji Speedway,Japan,35.3717,138.927,583
17,Shanghai International Circuit,China,31.3389,121.22,5
18,Autódromo José Carlos Pace,Brazil,-23.7036,-46.6997,785
19,Indianapolis Motor Speedway,USA,39.795,-86.2347,223
20,Nürburgring,Germany,50.3356,6.9475,578
21,Autodromo Enzo e Dino Ferrari,Italy,44.3439,11.7167,37
22,Suzuka Circuit,Japan,34.8431,136.541,45
23,A1-Ring,Austria,47.2197,14.7647,678
24,Yas Marina Circuit,UAE,24.4672,54.6031,3
25,Autódromo Juan y Oscar Gálvez,Argentina,-34.6943,-58.4593,8
26,Circuito de Jerez,Spain,36.7083,-6.03417,37
27,Autódromo do Estoril,Portugal,38.7506,-9.39417,130
28,Okayama International Circuit,Japan,34.915,134.221,266
29,Adelaide Street Circuit,Australia,-34.9272,138.617,58
30,Kyalami,South Africa,-25.9894,28.0767,1460
31,Donington Park,UK,52.8306,-1.37528,88
32,Autódromo Hermanos Rodríguez,Mexico,19.4042,-99.0907,2227
33,Phoenix street circuit,USA,33.4479,-112.075,345
34,Circuit Paul Ricard,France,43.2506,5.79167,432
35,Korean International Circuit,Korea,34.7333,126.417,0
36,Autódromo Internacional Nelson Piquet,Brazil,-22.9756,-43.395,1126
37,Detroit Street Circuit,USA,42.3298,-83.0401,177
38,Brands Hatch,UK,51.3569,0.263056,145
39,Circuit Park Zandvoort,Netherlands,52.3888,4.54092,6
40,Zolder,Belgium,50.9894,5.25694,36
41,Dijon-Prenois,France,47.3625,4.89913,484
42,Fair Park,USA,32.7774,-96.7587,139
43,Long Beach,USA,33.7651,-118.189,12
44,Las Vegas Street Circuit,USA,36.1162,-115.174,639
45,Jarama,Spain,40.6171,-3.58558,609
46,Watkins Glen,USA,42.3369,-76.9272,485
47,Scandinavian Raceway,Sweden,57.2653,13.6042,153
48,Mosport International Raceway,Canada,44.0481,-78.6756,332
49,Montjuïc,Spain,41.3664,2.15167,79
50,Nivelles-Baulers,Belgium,50.6211,4.32694,139
51,Charade Circuit,France,45.7472,3.03889,790
52,Circuit Mont-Tremblant,Canada,46.1877,-74.6099,214
53,Rouen-Les-Essarts,France,49.3306,1.00458,81
54,Le Mans,France,47.95,0.224231,67
55,Reims-Gueux,France,49.2542,3.93083,88
56,Prince George Circuit,South Africa,-33.0486,27.8736,15
57,Zeltweg,Austria,47.2039,14.7478,676
58,Aintree,UK,53.4769,-2.94056,20
59,Circuito da Boavista,Portugal,41.1705,-8.67325,28
60,Riverside International Raceway,USA,33.937,-117.273,470
61,AVUS,Germany,52.4806,13.2514,53
62,Monsanto Park Circuit,Portugal,38.7197,-9.20306,158
63,Sebring International Raceway,USA,27.4547,-81.3483,18
64,Ain Diab,Morocco,33.5786,-7.6875,19
65,Pescara Circuit,Italy,42.475,14.1508,129
66,Circuit Bremgarten,Switzerland,46.9589,7.40194,551
67,Circuit de Pedralbes,Spain,41.3903,2.11667,85
68,Buddh International Circuit,India,28.3487,77.5331,194
69,Circuit of the Americas,USA,30.1328,-97.6411,161
70,Red Bull Ring,Austria,47.2197,14.7647,678
71,Sochi Autodrom,Russia,43.4057,39.9578,2
72,Port Imperial Street Circuit,USA,40.7769,-74.0111,4
73,Baku City Circuit,Azerbaijan,40.3725,49.8533,-7
74,Hanoi Street Circuit,Vietnam,21.0166,105.766,9
75,Autódromo Internacional do Algarve,Portugal,37.227,-8.6267,108
76,Autodromo Internazionale del Mugello,Italy,43.9975,11.3719,255
77,Jeddah Street Circuit,Saudi Arabia,21.5433,39.1728,15
