dia,mes,ano,dia_semana,turno,id_tempo
16,3,2008,6,Madrugada,0
23,3,2008,6,Manhã,1
6,4,2008,6,Manhã,2
27,4,2008,6,Manhã,3
11,5,2008,6,Manhã,4
25,5,2008,6,Manhã,5
8,6,2008,6,Tarde,6
22,6,2008,6,Manhã,7
6,7,2008,6,Manhã,8
20,7,2008,6,Manhã,9
3,8,2008,6,Manhã,10
24,8,2008,6,Manhã,11
7,9,2008,6,Manhã,12
14,9,2008,6,Manhã,13
28,9,2008,6,Manhã,14
12,10,2008,6,Madrugada,15
19,10,2008,6,Manhã,16
2,11,2008,6,Tarde,17
18,3,2007,6,Madrugada,18
8,4,2007,6,Manhã,19
15,4,2007,6,Manhã,20
13,5,2007,6,Manhã,21
27,5,2007,6,Manhã,22
10,6,2007,6,Tarde,23
17,6,2007,6,Tarde,24
1,7,2007,6,Manhã,25
8,7,2007,6,Manhã,26
22,7,2007,6,Manhã,27
5,8,2007,6,Manhã,28
26,8,2007,6,Manhã,29
9,9,2007,6,Manhã,30
16,9,2007,6,Manhã,31
30,9,2007,6,Madrugada,32
7,10,2007,6,Manhã,33
21,10,2007,6,Tarde,34
12,3,2006,6,Tarde,35
19,3,2006,6,Tarde,36
2,4,2006,6,Tarde,37
23,4,2006,6,Tarde,38
7,5,2006,6,Tarde,39
14,5,2006,6,Tarde,40
28,5,2006,6,Tarde,41
11,6,2006,6,Manhã,42
25,6,2006,6,Tarde,43
2,7,2006,6,Tarde,44
16,7,2006,6,Tarde,45
30,7,2006,6,Tarde,46
6,8,2006,6,Tarde,47
27,8,2006,6,Tarde,48
10,9,2006,6,Tarde,49
1,10,2006,6,Tarde,50
8,10,2006,6,Tarde,51
22,10,2006,6,Tarde,52
6,3,2005,6,Tarde,53
20,3,2005,6,Tarde,54
3,4,2005,6,Tarde,55
24,4,2005,6,Tarde,56
8,5,2005,6,Tarde,57
22,5,2005,6,Tarde,58
29,5,2005,6,Tarde,59
12,6,2005,6,Tarde,60
19,6,2005,6,Tarde,61
3,7,2005,6,Tarde,62
10,7,2005,6,Tarde,63
24,7,2005,6,Tarde,64
31,7,2005,6,Tarde,65
21,8,2005,6,Tarde,66
4,9,2005,6,Tarde,67
11,9,2005,6,Tarde,68
25,9,2005,6,Tarde,69
9,10,2005,6,Tarde,70
16,10,2005,6,Tarde,71
7,3,2004,6,Noite,72
21,3,2004,6,Noite,73
4,4,2004,6,Noite,74
25,4,2004,6,Noite,75
9,5,2004,6,Noite,76
23,5,2004,6,Noite,77
30,5,2004,6,Noite,78
13,6,2004,6,Noite,79
20,6,2004,6,Noite,80
4,7,2004,6,Noite,81
11,7,2004,6,Noite,82
25,7,2004,6,Noite,83
15,8,2004,6,Noite,84
29,8,2004,6,Noite,85
12,9,2004,6,Noite,86
26,9,2004,6,Noite,87
10,10,2004,6,Noite,88
24,10,2004,6,Noite,89
9,3,2003,6,Noite,90
23,3,2003,6,Noite,91
6,4,2003,6,Noite,92
20,4,2003,6,Noite,93
4,5,2003,6,Noite,94
18,5,2003,6,Noite,95
1,6,2003,6,Noite,96
15,6,2003,6,Noite,97
29,6,2003,6,Noite,98
6,7,2003,6,Noite,99
20,7,2003,6,Noite,100
3,8,2003,6,Noite,101
24,8,2003,6,Noite,102
14,9,2003,6,Noite,103
28,9,2003,6,Noite,104
12,10,2003,6,Noite,105
3,3,2002,6,Noite,106
17,3,2002,6,Noite,107
31,3,2002,6,Noite,108
14,4,2002,6,Noite,109
28,4,2002,6,Noite,110
12,5,2002,6,Noite,111
26,5,2002,6,Noite,112
9,6,2002,6,Noite,113
23,6,2002,6,Noite,114
7,7,2002,6,Noite,115
21,7,2002,6,Noite,116
28,7,2002,6,Noite,117
18,8,2002,6,Noite,118
1,9,2002,6,Noite,119
15,9,2002,6,Noite,120
29,9,2002,6,Noite,121
13,10,2002,6,Noite,122
4,3,2001,6,Noite,123
18,3,2001,6,Noite,124
1,4,2001,6,Noite,125
15,4,2001,6,Noite,126
29,4,2001,6,Noite,127
13,5,2001,6,Noite,128
27,5,2001,6,Noite,129
10,6,2001,6,Noite,130
24,6,2001,6,Noite,131
1,7,2001,6,Noite,132
15,7,2001,6,Noite,133
29,7,2001,6,Noite,134
19,8,2001,6,Noite,135
2,9,2001,6,Noite,136
16,9,2001,6,Noite,137
30,9,2001,6,Noite,138
14,10,2001,6,Noite,139
12,3,2000,6,Noite,140
26,3,2000,6,Noite,141
9,4,2000,6,Noite,142
23,4,2000,6,Noite,143
7,5,2000,6,Noite,144
21,5,2000,6,Noite,145
4,6,2000,6,Noite,146
18,6,2000,6,Noite,147
2,7,2000,6,Noite,148
16,7,2000,6,Noite,149
30,7,2000,6,Noite,150
13,8,2000,6,Noite,151
27,8,2000,6,Noite,152
10,9,2000,6,Noite,153
24,9,2000,6,Noite,154
8,10,2000,6,Noite,155
22,10,2000,6,Noite,156
7,3,1999,6,Noite,157
11,4,1999,6,Noite,158
2,5,1999,6,Noite,159
16,5,1999,6,Noite,160
30,5,1999,6,Noite,161
13,6,1999,6,Noite,162
27,6,1999,6,Noite,163
11,7,1999,6,Noite,164
25,7,1999,6,Noite,165
1,8,1999,6,Noite,166
15,8,1999,6,Noite,167
29,8,1999,6,Noite,168
12,9,1999,6,Noite,169
26,9,1999,6,Noite,170
17,10,1999,6,Noite,171
31,10,1999,6,Noite,172
8,3,1998,6,Noite,173
29,3,1998,6,Noite,174
12,4,1998,6,Noite,175
26,4,1998,6,Noite,176
10,5,1998,6,Noite,177
24,5,1998,6,Noite,178
7,6,1998,6,Noite,179
28,6,1998,6,Noite,180
12,7,1998,6,Noite,181
26,7,1998,6,Noite,182
2,8,1998,6,Noite,183
16,8,1998,6,Noite,184
30,8,1998,6,Noite,185
13,9,1998,6,Noite,186
27,9,1998,6,Noite,187
1,11,1998,6,Noite,188
9,3,1997,6,Noite,189
30,3,1997,6,Noite,190
13,4,1997,6,Noite,191
27,4,1997,6,Noite,192
11,5,1997,6,Noite,193
25,5,1997,6,Noite,194
15,6,1997,6,Noite,195
29,6,1997,6,Noite,196
13,7,1997,6,Noite,197
27,7,1997,6,Noite,198
10,8,1997,6,Noite,199
24,8,1997,6,Noite,200
7,9,1997,6,Noite,201
21,9,1997,6,Noite,202
28,9,1997,6,Noite,203
12,10,1997,6,Noite,204
26,10,1997,6,Noite,205
10,3,1996,6,Noite,206
31,3,1996,6,Noite,207
7,4,1996,6,Noite,208
28,4,1996,6,Noite,209
5,5,1996,6,Noite,210
19,5,1996,6,Noite,211
2,6,1996,6,Noite,212
16,6,1996,6,Noite,213
30,6,1996,6,Noite,214
14,7,1996,6,Noite,215
28,7,1996,6,Noite,216
11,8,1996,6,Noite,217
25,8,1996,6,Noite,218
8,9,1996,6,Noite,219
22,9,1996,6,Noite,220
13,10,1996,6,Noite,221
26,3,1995,6,Noite,222
9,4,1995,6,Noite,223
30,4,1995,6,Noite,224
14,5,1995,6,Noite,225
28,5,1995,6,Noite,226
11,6,1995,6,Noite,227
2,7,1995,6,Noite,228
16,7,1995,6,Noite,229
30,7,1995,6,Noite,230
13,8,1995,6,Noite,231
27,8,1995,6,Noite,232
10,9,1995,6,Noite,233
24,9,1995,6,Noite,234
1,10,1995,6,Noite,235
22,10,1995,6,Noite,236
29,10,1995,6,Noite,237
12,11,1995,6,Noite,238
27,3,1994,6,Noite,239
17,4,1994,6,Noite,240
1,5,1994,6,Noite,241
15,5,1994,6,Noite,242
29,5,1994,6,Noite,243
12,6,1994,6,Noite,244
3,7,1994,6,Noite,245
10,7,1994,6,Noite,246
31,7,1994,6,Noite,247
14,8,1994,6,Noite,248
28,8,1994,6,Noite,249
11,9,1994,6,Noite,250
25,9,1994,6,Noite,251
16,10,1994,6,Noite,252
6,11,1994,6,Noite,253
13,11,1994,6,Noite,254
14,3,1993,6,Noite,255
28,3,1993,6,Noite,256
11,4,1993,6,Noite,257
25,4,1993,6,Noite,258
9,5,1993,6,Noite,259
23,5,1993,6,Noite,260
13,6,1993,6,Noite,261
4,7,1993,6,Noite,262
11,7,1993,6,Noite,263
25,7,1993,6,Noite,264
15,8,1993,6,Noite,265
29,8,1993,6,Noite,266
12,9,1993,6,Noite,267
26,9,1993,6,Noite,268
24,10,1993,6,Noite,269
7,11,1993,6,Noite,270
1,3,1992,6,Noite,271
22,3,1992,6,Noite,272
5,4,1992,6,Noite,273
3,5,1992,6,Noite,274
17,5,1992,6,Noite,275
31,5,1992,6,Noite,276
14,6,1992,6,Noite,277
5,7,1992,6,Noite,278
12,7,1992,6,Noite,279
26,7,1992,6,Noite,280
16,8,1992,6,Noite,281
30,8,1992,6,Noite,282
13,9,1992,6,Noite,283
27,9,1992,6,Noite,284
25,10,1992,6,Noite,285
8,11,1992,6,Noite,286
10,3,1991,6,Noite,287
24,3,1991,6,Noite,288
28,4,1991,6,Noite,289
12,5,1991,6,Noite,290
2,6,1991,6,Noite,291
16,6,1991,6,Noite,292
7,7,1991,6,Noite,293
14,7,1991,6,Noite,294
28,7,1991,6,Noite,295
11,8,1991,6,Noite,296
25,8,1991,6,Noite,297
8,9,1991,6,Noite,298
22,9,1991,6,Noite,299
29,9,1991,6,Noite,300
20,10,1991,6,Noite,301
3,11,1991,6,Noite,302
11,3,1990,6,Noite,303
25,3,1990,6,Noite,304
13,5,1990,6,Noite,305
27,5,1990,6,Noite,306
10,6,1990,6,Noite,307
24,6,1990,6,Noite,308
8,7,1990,6,Noite,309
15,7,1990,6,Noite,310
29,7,1990,6,Noite,311
12,8,1990,6,Noite,312
26,8,1990,6,Noite,313
9,9,1990,6,Noite,314
23,9,1990,6,Noite,315
30,9,1990,6,Noite,316
21,10,1990,6,Noite,317
4,11,1990,6,Noite,318
29,3,2009,6,Manhã,319
5,4,2009,6,Manhã,320
19,4,2009,6,Manhã,321
26,4,2009,6,Manhã,322
10,5,2009,6,Manhã,323
24,5,2009,6,Manhã,324
7,6,2009,6,Manhã,325
21,6,2009,6,Manhã,326
12,7,2009,6,Manhã,327
26,7,2009,6,Manhã,328
23,8,2009,6,Manhã,329
30,8,2009,6,Manhã,330
13,9,2009,6,Manhã,331
27,9,2009,6,Manhã,332
4,10,2009,6,Madrugada,333
18,10,2009,6,Tarde,334
26,3,1989,6,Noite,335
23,4,1989,6,Noite,336
7,5,1989,6,Noite,337
28,5,1989,6,Noite,338
4,6,1989,6,Noite,339
18,6,1989,6,Noite,340
9,7,1989,6,Noite,341
16,7,1989,6,Noite,342
30,7,1989,6,Noite,343
13,8,1989,6,Noite,344
27,8,1989,6,Noite,345
10,9,1989,6,Noite,346
24,9,1989,6,Noite,347
1,10,1989,6,Noite,348
22,10,1989,6,Noite,349
5,11,1989,6,Noite,350
3,4,1988,6,Noite,351
1,5,1988,6,Noite,352
15,5,1988,6,Noite,353
29,5,1988,6,Noite,354
12,6,1988,6,Noite,355
19,6,1988,6,Noite,356
3,7,1988,6,Noite,357
10,7,1988,6,Noite,358
24,7,1988,6,Noite,359
7,8,1988,6,Noite,360
28,8,1988,6,Noite,361
11,9,1988,6,Noite,362
25,9,1988,6,Noite,363
2,10,1988,6,Noite,364
30,10,1988,6,Noite,365
13,11,1988,6,Noite,366
12,4,1987,6,Noite,367
3,5,1987,6,Noite,368
17,5,1987,6,Noite,369
31,5,1987,6,Noite,370
21,6,1987,6,Noite,371
5,7,1987,6,Noite,372
12,7,1987,6,Noite,373
26,7,1987,6,Noite,374
9,8,1987,6,Noite,375
16,8,1987,6,Noite,376
6,9,1987,6,Noite,377
20,9,1987,6,Noite,378
27,9,1987,6,Noite,379
18,10,1987,6,Noite,380
1,11,1987,6,Noite,381
15,11,1987,6,Noite,382
23,3,1986,6,Noite,383
13,4,1986,6,Noite,384
27,4,1986,6,Noite,385
11,5,1986,6,Noite,386
25,5,1986,6,Noite,387
15,6,1986,6,Noite,388
22,6,1986,6,Noite,389
6,7,1986,6,Noite,390
13,7,1986,6,Noite,391
27,7,1986,6,Noite,392
10,8,1986,6,Noite,393
17,8,1986,6,Noite,394
7,9,1986,6,Noite,395
21,9,1986,6,Noite,396
12,10,1986,6,Noite,397
26,10,1986,6,Noite,398
7,4,1985,6,Noite,399
21,4,1985,6,Noite,400
5,5,1985,6,Noite,401
19,5,1985,6,Noite,402
16,6,1985,6,Noite,403
23,6,1985,6,Noite,404
7,7,1985,6,Noite,405
21,7,1985,6,Noite,406
4,8,1985,6,Noite,407
18,8,1985,6,Noite,408
25,8,1985,6,Noite,409
8,9,1985,6,Noite,410
15,9,1985,6,Noite,411
6,10,1985,6,Noite,412
19,10,1985,5,Noite,413
3,11,1985,6,Noite,414
25,3,1984,6,Noite,415
7,4,1984,5,Noite,416
29,4,1984,6,Noite,417
6,5,1984,6,Noite,418
20,5,1984,6,Noite,419
3,6,1984,6,Noite,420
