id_piloto,id_circuito,id_construtor,posicao_qualify,posicao_corrida,pontos,numero_voltas,quantidade_pits,soma_tempo_pits,status,id_tempo,volta_mais_rapida,maior_velocidade,tempo_corrida
1,1,1,1.0,1,10.0,58,,,Finished,0,01:27:27,218.3,5690616
2,1,2,5.0,2,8.0,58,,,Finished,0,01:27:44,217.586,5696094
3,1,3,7.0,3,6.0,58,,,Finished,0,01:28:05,216.719,5698779
4,1,4,12.0,4,5.0,58,,,Finished,0,01:28:36,215.464,5707797
5,1,1,3.0,5,4.0,58,,,Finished,0,01:27:25,218.385,5708630
6,1,3,14.0,6,3.0,57,,,+1 Lap,0,01:29:38,212.974,-1
7,1,5,18.0,7,2.0,55,,,Engine,0,01:29:32,213.224,-1
8,1,6,16.0,8,1.0,53,,,Engine,0,01:27:54,217.18,-1
13,1,6,4.0,13,0.0,29,,,Engine,0,01:28:10,216.51,-1
9,1,2,2.0,9,0.0,47,,,Collision,0,01:28:45,215.1,-1
14,1,9,8.0,14,0.0,25,,,Collision,0,01:29:30,213.3,-1
17,1,9,15.0,17,0.0,0,,,Collision,0,23:59:59.999999,-1.0,-1
18,1,11,13.0,18,0.0,0,,,Collision,0,23:59:59.999999,-1.0,-1
19,1,8,22.0,19,0.0,0,,,Collision,0,23:59:59.999999,-1.0,-1
20,1,5,10.0,20,0.0,0,,,Collision,0,23:59:59.999999,-1.0,-1
21,1,10,17.0,21,0.0,0,,,Collision,0,23:59:59.999999,-1.0,-1
10,1,7,9.0,10,0.0,43,,,Accident,0,01:29:33,213.166,-1
11,1,8,20.0,11,0.0,32,,,Transmission,0,01:30:53,210.038,-1
12,1,4,21.0,12,0.0,30,,,Clutch,0,01:31:23,208.907,-1
15,1,7,6.0,15,0.0,19,,,Electrical,0,01:29:18,213.758,-1
16,1,10,19.0,16,0.0,8,,,Hydraulics,0,01:32:01,207.461,-1
22,1,11,11.0,22,0.0,58,,,Disqualified,0,01:28:44,215.141,-1
8,2,6,2.0,1,10.0,56,,,Finished,1,01:35:24,209.158,5478555
9,2,2,6.0,2,8.0,56,,,Finished,1,01:35:55,208.033,5498125
5,2,1,3.0,3,6.0,56,,,Finished,1,01:35:55,208.031,5517005
15,2,7,5.0,4,5.0,56,,,Finished,1,01:36:04,207.715,5524387
1,2,1,4.0,5,4.0,56,,,Finished,1,01:35:27,209.033,5525103
2,2,2,7.0,6,3.0,56,,,Finished,1,01:35:21,209.244,5528388
17,2,9,8.0,7,2.0,56,,,Finished,1,01:36:41,206.366,5546685
4,2,4,9.0,8,1.0,56,,,Finished,1,01:36:17,207.24,5548596
14,2,9,12.0,9,0.0,56,,,Finished,1,01:36:12,207.417,5554775
18,2,11,11.0,10,0.0,56,,,Finished,1,01:35:42,208.481,5564769
12,2,4,13.0,11,0.0,56,,,Finished,1,01:36:57,205.812,5570757
21,2,10,17.0,12,0.0,55,,,+1 Lap,1,01:36:57,205.8,-1
22,2,11,14.0,13,0.0,55,,,+1 Lap,1,01:36:41,206.372,-1
3,2,3,16.0,14,0.0,55,,,+1 Lap,1,01:36:46,206.182,-1
19,2,8,22.0,15,0.0,55,,,+1 Lap,1,01:38:10,203.265,-1
20,2,5,15.0,18,0.0,39,,,Engine,1,01:36:52,205.995,-1
10,2,7,10.0,21,0.0,1,,,Collision,1,23:59:59.999999,-1.0,-1
16,2,10,21.0,20,0.0,5,,,Hydraulics,1,01:40:19,198.891,-1
11,2,8,20.0,16,0.0,54,,,+2 Laps,1,01:38:30,202.578,-1
6,2,3,18.0,17,0.0,54,,,+2 Laps,1,01:37:42,204.222,-1
13,2,6,1.0,19,0.0,30,,,Spun off,1,01:35:54,208.048,-1
7,2,5,19.0,22,0.0,0,,,Spun off,1,23:59:59.999999,-1.0,-1
13,3,6,2.0,1,10.0,57,,,Finished,2,01:33:36,208.153,5466970
8,3,6,4.0,2,8.0,57,,,Finished,2,01:33:42,207.911,5470309
9,3,2,1.0,3,6.0,57,,,Finished,2,01:33:46,207.765,5471968
2,3,2,6.0,4,5.0,57,,,Finished,2,01:33:33,208.231,5475379
5,3,1,5.0,5,4.0,57,,,Finished,2,01:33:11,209.062,5493759
15,3,7,7.0,6,3.0,57,,,Finished,2,01:34:12,206.819,5508284
17,3,9,11.0,7,2.0,57,,,Finished,2,01:34:18,206.597,5512443
3,3,3,8.0,8,1.0,57,,,Finished,2,01:34:04,207.109,5522859
10,3,7,13.0,9,0.0,57,,,Finished,2,01:34:48,205.503,5536470
4,3,4,10.0,10,0.0,57,,,Finished,2,01:35:11,204.668,5544151
22,3,11,12.0,11,0.0,57,,,Finished,2,01:34:51,205.399,5544832
21,3,10,18.0,12,0.0,56,,,+1 Lap,2,01:35:03,204.963,-1
1,3,1,3.0,13,0.0,56,,,+1 Lap,2,01:35:31,203.969,-1
6,3,3,16.0,14,0.0,56,,,+1 Lap,2,01:35:25,204.155,-1
7,3,5,15.0,15,0.0,56,,,+1 Lap,2,01:35:19,204.369,-1
